ID,Site,Transect,StartEnd,UTMn,UTMe,Note,FID,Shape *,ID,Site,Transect,StartEnd,UTMn,UTMe,Note,SLOPE DEGREES
Meay_Lower_31,,,31,5723966.044,562447.6009,,,,,,,,,,,
Meay_Lower_32,,,32,5723965.057,562447.7618,,,,,,,,,,,
Meay_Lower_33,,,33,5723964.07,562447.9227,,,,,,,,,,,
Meay_Lower_34,,,34,5723963.083,562448.0836,,,,,,,,,,,
Meay_Lower_35,,,35,5723962.096,562448.2445,,,,,,,,,,,
Meay_Lower_36,,,36,5723961.109,562448.4054,,,,,,,,,,,
Meay_Lower_37,,,37,5723960.122,562448.5663,,,,,,,,,,,
Meay_Lower_38,,,38,5723959.135,562448.7272,,,,,,,,,,,
Meay_Lower_39,,,39,5723958.148,562448.8881,,,,,,,,,,,
Meay_Lower_40,,,40,5723957.161,562449.049,,,,,,,,,,,
Meay_Lower_41,,,41,5723956.174,562449.2099,,,,,,,,,,,
Meay_Lower_42,,,42,5723955.187,562449.3708,,,,,,,,,,,
Meay_Lower_43,,,43,5723954.2,562449.5317,,,,,,,,,,,
Meay_Lower_44,,,44,5723953.213,562449.6926,,,,,,,,,,,
Meay_Lower_45,,,45,5723952.226,562449.8535,,,,,,,,,,,
Meay_Lower_46,,,46,5723951.239,562450.0144,,,,,,,,,,,
Meay_Lower_47,MEAY,Low,End,5723949.88,562450.236,Called Lower_2,,,,,,,,,,
Meay_Mid_0,MEAY,Mid,Start,5723984.88,562429.798,Called Mid_1,,,,,,,,,,
Meay_Mid_1,,,1,5723983.904,562430.0173,,,,,,,,,,,
Meay_Mid_2,,,2,5723982.929,562430.2365,,,,,,,,,,,
Meay_Mid_3,,,3,5723981.953,562430.4558,,,,,,,,,,,
Meay_Mid_4,,,4,5723980.977,562430.6751,,,,,,,,,,,
Meay_Mid_5,,,5,5723980.002,562430.8943,,,,,,,,,,,
Meay_Mid_6,,,6,5723979.026,562431.1136,,,,,,,,,,,
Meay_Mid_7,,,7,5723978.05,562431.3329,,,,,,,,,,,
Meay_Mid_8,,,8,5723977.075,562431.5521,,,,,,,,,,,
Meay_Mid_9,,,9,5723976.099,562431.7714,,,,,,,,,,,
Meay_Mid_10,,,10,5723975.123,562431.9907,,,,,,,,,,,
Meay_Mid_11,,,11,5723974.148,562432.2099,,,,,,,,,,,
Meay_Mid_12,,,12,5723973.172,562432.4292,,,,,,,,,,,
Meay_Mid_13,,,13,5723972.196,562432.6485,,,,,,,,,,,
Meay_Mid_14,,,14,5723971.221,562432.8677,,,,,,,,,,,
Meay_Mid_15,,,15,5723970.245,562433.087,,,,,,,,,,,
Meay_Mid_16,,,16,5723969.269,562433.3063,,,,,,,,,,,
Meay_Mid_17,,,17,5723968.294,562433.5255,,,,,,,,,,,
Meay_Mid_18,,,18,5723967.318,562433.7448,,,,,,,,,,,
Meay_Mid_19,,,19,5723966.342,562433.9641,,,,,,,,,,,
Meay_Mid_20,,,20,5723965.367,562434.1833,,,,,,,,,,,
Meay_Mid_21,,,21,5723964.391,562434.4026,,,,,,,,,,,
Meay_Mid_22,,,22,5723963.415,562434.6219,,,,,,,,,,,
Meay_Mid_23,,,23,5723962.44,562434.8411,,,,,,,,,,,
Meay_Mid_24,,,24,5723961.464,562435.0604,,,,,,,,,,,
Meay_Mid_25,,,25,5723960.488,562435.2797,,,,,,,,,,,
Meay_Mid_26,,,26,5723959.513,562435.4989,,,,,,,,,,,
Meay_Mid_27,,,27,5723958.537,562435.7182,,,,,,,,,,,
Meay_Mid_28,,,28,5723957.561,562435.9375,,,,,,,,,,,
Meay_Mid_29,,,29,5723956.586,562436.1567,,,,,,,,,,,
Meay_Mid_30,,,30,5723955.61,562436.376,,,,,,,,,,,
Meay_Mid_31,,,31,5723954.634,562436.5953,,,,,,,,,,,
Meay_Mid_32,,,32,5723953.659,562436.8145,,,,,,,,,,,
Meay_Mid_33,,,33,5723952.683,562437.0338,,,,,,,,,,,
Meay_Mid_34,,,34,5723951.707,562437.2531,,,,,,,,,,,
Meay_Mid_35,,,35,5723950.732,562437.4723,,,,,,,,,,,
Meay_Mid_36,,,36,5723949.756,562437.6916,,,,,,,,,,,
Meay_Mid_37,,,37,5723948.78,562437.9109,,,,,,,,,,,
Meay_Mid_38,,,38,5723947.805,562438.1301,,,,,,,,,,,
Meay_High_0,MEAY,High,Start,5723979.58,562416.271,Called Meay_High_1,,,,,,,,,,
Meay_High_1,,,1,5723978.602,562416.4819,,,,,,,,,,,
Meay_High_2,,,2,5723977.625,562416.6928,,,,,,,,,,,
Meay_High_3,,,3,5723976.647,562416.9037,,,,,,,,,,,
Meay_High_4,,,4,5723975.67,562417.1146,,,,,,,,,,,
Meay_High_5,,,5,5723974.692,562417.3255,,,,,,,,,,,
Meay_High_6,,,6,5723973.715,562417.5364,,,,,,,,,,,
Meay_High_7,,,7,5723972.737,562417.7473,,,,,,,,,,,
Meay_High_8,,,8,5723971.76,562417.9582,,,,,,,,,,,
Meay_High_9,,,9,5723970.782,562418.1691,,,,,,,,,,,
Meay_High_10,,,10,5723969.805,562418.38,,,,,,,,,,,
Meay_High_11,,,11,5723968.827,562418.5909,,,,,,,,,,,
Meay_High_12,,,12,5723967.85,562418.8018,,,,,,,,,,,
Meay_High_13,,,13,5723966.872,562419.0127,,,,,,,,,,,
Meay_High_14,,,14,5723965.895,562419.2236,,,,,,,,,,,
Meay_High_15,,,15,5723964.917,562419.4345,,,,,,,,,,,
Meay_High_16,,,16,5723963.94,562419.6454,,,,,,,,,,,
Meay_High_17,,,17,5723962.962,562419.8563,,,,,,,,,,,
Meay_High_18,,,18,5723961.985,562420.0672,,,,,,,,,,,
Meay_High_19,,,19,5723961.007,562420.2781,,,,,,,,,,,
Meay_High_20,,,20,5723960.03,562420.489,,,,,,,,,,,
Meay_High_21,,,21,5723959.052,562420.6999,,,,,,,,,,,
Meay_High_22,,,22,5723958.075,562420.9108,,,,,,,,,,,
Meay_High_23,,,23,5723957.097,562421.1217,,,,,,,,,,,
Meay_High_24,,,24,5723956.12,562421.3326,,,,,,,,,,,
Meay_High_25,,,25,5723955.142,562421.5435,,,,,,,,,,,
Meay_High_26,,,26,5723954.165,562421.7544,,,,,,,,,,,
Meay_High_27,,,27,5723953.187,562421.9653,,,,,,,,,,,
Meay_High_28,,,28,5723952.21,562422.1762,,,,,,,,,,,
Meay_High_29,,,29,5723951.232,562422.3871,,,,,,,,,,,
Meay_High_30,,,30,5723950.255,562422.598,,,,,,,,,,,
Meay_High_31,,,31,5723949.277,562422.8089,,,,,,,,,,,
Meay_High_32,,,32,5723948.3,562423.0198,,,,,,,,,,,
Meay_High_33,,,33,5723947.322,562423.2307,,,,,,,,,,,
Meay_High_34,,,34,5723946.345,562423.4416,,,,,,,,,,,
Meay_High_35,,,35,5723945.367,562423.6525,,,,,,,,,,,
Meay_High_36,MEAY,High,End,5723944.03,562423.941,Was called Meay_High_2,,,,,,,,,,
Foggy Low 0,WB,Low,Start,5722602.173,559255.4621,,0,Point,Foggy Low 0,WB,Low,Start,5722602.173,559255.4621, ,14.78549
Foggy Low 1,,,1,5722601.574,559254.6613,,1,Point,Foggy Low 1, , ,1,5722601.574,559254.6613, ,15.331862
Foggy Low 2,,,2,5722600.975,559253.8604,,2,Point,Foggy Low 2, , ,2,5722600.975,559253.8604, ,2.463963
Foggy Low 3,,,3,5722600.376,559253.0595,,3,Point,Foggy Low 3, , ,3,5722600.376,559253.0595, ,5.640556
Foggy Low 4,,,4,5722599.777,559252.2586,,4,Point,Foggy Low 4, , ,4,5722599.777,559252.2586, ,9.456332
Foggy Low 5,,,5,5722599.178,559251.4578,,5,Point,Foggy Low 5, , ,5,5722599.178,559251.4578, ,2.10438
Foggy Low 6,,,6,5722598.58,559250.6569,,6,Point,Foggy Low 6, , ,6,5722598.58,559250.6569, ,15.460656
Foggy Low 7,,,7,5722597.981,559249.856,,7,Point,Foggy Low 7, , ,7,5722597.981,559249.856, ,5.906125
Foggy Low 8,,,8,5722597.382,559249.0552,,8,Point,Foggy Low 8, , ,8,5722597.382,559249.0552, ,20.801287
Foggy Low 9,,,9,5722596.783,559248.2543,,9,Point,Foggy Low 9, , ,9,5722596.783,559248.2543, ,31.40803
Foggy Low 10,,,10,5722596.184,559247.4534,,10,Point,Foggy Low 10, , ,10,5722596.184,559247.4534, ,19.827084
Foggy Low 11,,,11,5722595.585,559246.6525,,11,Point,Foggy Low 11, , ,11,5722595.585,559246.6525, ,10.984259
Foggy Low 12,,,12,5722594.987,559245.8517,,12,Point,Foggy Low 12, , ,12,5722594.987,559245.8517, ,6.680324
Foggy Low 13,,,13,5722594.388,559245.0508,,13,Point,Foggy Low 13, , ,13,5722594.388,559245.0508, ,29.765049
Foggy Low 14,,,14,5722593.789,559244.2499,,14,Point,Foggy Low 14, , ,14,5722593.789,559244.2499, ,16.162989
Foggy Low 15,,,15,5722593.19,559243.449,,15,Point,Foggy Low 15, , ,15,5722593.19,559243.449, ,14.031261
Foggy Low 16,,,16,5722592.591,559242.6482,,16,Point,Foggy Low 16, , ,16,5722592.591,559242.6482, ,8.380875
Foggy Low 17,,,17,5722591.992,559241.8473,,17,Point,Foggy Low 17, , ,17,5722591.992,559241.8473, ,2.82278
Foggy Low 18,,,18,5722591.393,559241.0464,,18,Point,Foggy Low 18, , ,18,5722591.393,559241.0464, ,1.348094
Foggy Low 19,,,19,5722590.795,559240.2456,,19,Point,Foggy Low 19, , ,19,5722590.795,559240.2456, ,1.575623
Foggy Low 20,,,20,5722590.196,559239.4447,,20,Point,Foggy Low 20, , ,20,5722590.196,559239.4447, ,5.136876
Foggy Low 21,,,21,5722589.597,559238.6438,,21,Point,Foggy Low 21, , ,21,5722589.597,559238.6438, ,2.247538
Foggy Low 22,,,22,5722588.998,559237.8429,,22,Point,Foggy Low 22, , ,22,5722588.998,559237.8429, ,5.831854
Foggy Low 23,,,23,5722588.399,559237.0421,,23,Point,Foggy Low 23, , ,23,5722588.399,559237.0421, ,5.583838
Foggy Low 24,,,24,5722587.8,559236.2412,,24,Point,Foggy Low 24, , ,24,5722587.8,559236.2412, ,33.212337
Foggy Low 25,,,25,5722587.202,559235.4403,,25,Point,Foggy Low 25, , ,25,5722587.202,559235.4403, ,4.386249
Foggy Low 26,,,26,5722586.603,559234.6394,,26,Point,Foggy Low 26, , ,26,5722586.603,559234.6394, ,20.675018
Foggy Low 27,,,27,5722586.004,559233.8386,,27,Point,Foggy Low 27, , ,27,5722586.004,559233.8386, ,28.303629
Foggy Low 28,,,28,5722585.405,559233.0377,,28,Point,Foggy Low 28, , ,28,5722585.405,559233.0377, ,47.378155
Foggy Low 29,,,29,5722584.806,559232.2368,,29,Point,Foggy Low 29, , ,29,5722584.806,559232.2368, ,3.168575
Foggy Low 30,,,30,5722584.207,559231.436,,30,Point,Foggy Low 30, , ,30,5722584.207,559231.436, ,35.292564
Foggy Low 31,,,31,5722583.609,559230.6351,,31,Point,Foggy Low 31, , ,31,5722583.609,559230.6351, ,6.592674
Foggy Low 32,,,32,5722583.01,559229.8342,,32,Point,Foggy Low 32, , ,32,5722583.01,559229.8342, ,7.762266
Foggy Low 33,,,33,5722582.411,559229.0333,,33,Point,Foggy Low 33, , ,33,5722582.411,559229.0333, ,13.750577
Foggy Low 34,,,34,5722581.812,559228.2325,,34,Point,Foggy Low 34, , ,34,5722581.812,559228.2325, ,0.232074
Foggy Low 35,,,35,5722581.213,559227.4316,,35,Point,Foggy Low 35, , ,35,5722581.213,559227.4316, ,10.190781
Foggy Low 36.5,WB,Low,End,5722580.629,559226.6504,,36,Point,Foggy Low 36.5,WB,Low,End,5722580.629,559226.6504, ,8.873991
Foggy Mid 0,WB,Mid,Start,5722590.849,559275.6088,,37,Point,Foggy Mid 0,WB,Mid,Start,5722590.849,559275.6088, ,61.675919
Foggy Mid 1,,,1,5722590.249,559274.8085,,38,Point,Foggy Mid 1, , ,1,5722590.249,559274.8085, ,48.077354
Foggy Mid 2,,,2,5722589.65,559274.0083,,39,Point,Foggy Mid 2, , ,2,5722589.65,559274.0083, ,5.299176
Foggy Mid 3,,,3,5722589.05,559273.208,,40,Point,Foggy Mid 3, , ,3,5722589.05,559273.208, ,6.786326
Foggy Mid 4,,,4,5722588.45,559272.4077,,41,Point,Foggy Mid 4, , ,4,5722588.45,559272.4077, ,1.431414
Foggy Mid 5,,,5,5722587.851,559271.6075,,42,Point,Foggy Mid 5, , ,5,5722587.851,559271.6075, ,66.722321
Foggy Mid 6,,,6,5722587.251,559270.8072,,43,Point,Foggy Mid 6, , ,6,5722587.251,559270.8072, ,1.951097
Foggy Mid 7,,,7,5722586.651,559270.0069,,44,Point,Foggy Mid 7, , ,7,5722586.651,559270.0069, ,58.505611
Foggy Mid 8,,,8,5722586.052,559269.2067,,45,Point,Foggy Mid 8, , ,8,5722586.052,559269.2067, ,19.443579
Foggy Mid 9,,,9,5722585.452,559268.4064,,46,Point,Foggy Mid 9, , ,9,5722585.452,559268.4064, ,44.98838
Foggy Mid 10,,,10,5722584.853,559267.6061,,47,Point,Foggy Mid 10, , ,10,5722584.853,559267.6061, ,38.59684
Foggy Mid 11,,,11,5722584.253,559266.8059,,48,Point,Foggy Mid 11, , ,11,5722584.253,559266.8059, ,13.758829
Foggy Mid 12,,,12,5722583.653,559266.0056,,49,Point,Foggy Mid 12, , ,12,5722583.653,559266.0056, ,21.609163
Foggy Mid 13,,,13,5722583.054,559265.2053,,50,Point,Foggy Mid 13, , ,13,5722583.054,559265.2053, ,39.129662
Foggy Mid 14,,,14,5722582.454,559264.4051,,51,Point,Foggy Mid 14, , ,14,5722582.454,559264.4051, ,12.244816
Foggy Mid 15,,,15,5722581.854,559263.6048,,52,Point,Foggy Mid 15, , ,15,5722581.854,559263.6048, ,15.544673
Foggy Mid 16,,,16,5722581.255,559262.8045,,53,Point,Foggy Mid 16, , ,16,5722581.255,559262.8045, ,9.557596
Foggy Mid 17,,,17,5722580.655,559262.0043,,54,Point,Foggy Mid 17, , ,17,5722580.655,559262.0043, ,16.454071
Foggy Mid 18,,,18,5722580.055,559261.204,,55,Point,Foggy Mid 18, , ,18,5722580.055,559261.204, ,16.962646
Foggy Mid 19,,,19,5722579.456,559260.4038,,56,Point,Foggy Mid 19, , ,19,5722579.456,559260.4038, ,6.06758
Foggy Mid 20,,,20,5722578.856,559259.6035,,57,Point,Foggy Mid 20, , ,20,5722578.856,559259.6035, ,14.648171
Foggy Mid 21,,,21,5722578.256,559258.8032,,58,Point,Foggy Mid 21, , ,21,5722578.256,559258.8032, ,10.006668
Foggy Mid 22,,,22,5722577.657,559258.003,,59,Point,Foggy Mid 22, , ,22,5722577.657,559258.003, ,5.494392
Foggy Mid 23,,,23,5722577.057,559257.2027,,60,Point,Foggy Mid 23, , ,23,5722577.057,559257.2027, ,9.741096
Foggy Mid 24,,,24,5722576.457,559256.4024,,61,Point,Foggy Mid 24, , ,24,5722576.457,559256.4024, ,1.49684
Foggy Mid 25,,,25,5722575.858,559255.6022,,62,Point,Foggy Mid 25, , ,25,5722575.858,559255.6022, ,1.088635
Foggy Mid 26,,,26,5722575.258,559254.8019,,63,Point,Foggy Mid 26, , ,26,5722575.258,559254.8019, ,41.032684
Foggy Mid 27,,,27,5722574.659,559254.0016,,64,Point,Foggy Mid 27, , ,27,5722574.659,559254.0016, ,15.835861
Foggy Mid 28,,,28,5722574.059,559253.2014,,65,Point,Foggy Mid 28, , ,28,5722574.059,559253.2014, ,56.893177
Foggy Mid 29,,,29,5722573.459,559252.4011,,66,Point,Foggy Mid 29, , ,29,5722573.459,559252.4011, ,55.284752
Foggy Mid 30,,,30,5722572.86,559251.6008,,67,Point,Foggy Mid 30, , ,30,5722572.86,559251.6008, ,1.556991
Foggy Mid 31,,,31,5722572.26,559250.8006,,68,Point,Foggy Mid 31, , ,31,5722572.26,559250.8006, ,13.644152
Foggy Mid 32,,,32,5722571.66,559250.0003,,69,Point,Foggy Mid 32, , ,32,5722571.66,559250.0003, ,8.769424
Foggy Mid 33,,,33,5722571.061,559249.2,,70,Point,Foggy Mid 33, , ,33,5722571.061,559249.2, ,7.250606
Foggy Mid 34,,,34,5722570.461,559248.3998,,71,Point,Foggy Mid 34, , ,34,5722570.461,559248.3998, ,15.374066
Foggy Mid 35,,,35,5722569.861,559247.5995,,72,Point,Foggy Mid 35, , ,35,5722569.861,559247.5995, ,15.343904
Foggy Mid 36,,,36,5722569.262,559246.7992,,73,Point,Foggy Mid 36, , ,36,5722569.262,559246.7992, ,1.015494
Foggy Mid 37,,,37,5722568.662,559245.999,,74,Point,Foggy Mid 37, , ,37,5722568.662,559245.999, ,27.463352
Foggy Mid 38,,,38,5722568.062,559245.1987,,75,Point,Foggy Mid 38, , ,38,5722568.062,559245.1987, ,4.72284
Foggy Mid 39,,,39,5722567.463,559244.3984,,76,Point,Foggy Mid 39, , ,39,5722567.463,559244.3984, ,15.435257
Foggy Mid 40,,,40,5722566.863,559243.5982,,77,Point,Foggy Mid 40, , ,40,5722566.863,559243.5982, ,4.708244
Foggy Mid 41,,,41,5722566.263,559242.7979,,78,Point,Foggy Mid 41, , ,41,5722566.263,559242.7979, ,27.4018
Foggy Mid 42,,,42,5722565.664,559241.9976,,79,Point,Foggy Mid 42, , ,42,5722565.664,559241.9976, ,50.541878
Foggy Mid 43,,,43,5722565.064,559241.1974,,80,Point,Foggy Mid 43, , ,43,5722565.064,559241.1974, ,20.099386
Foggy Mid 44,,,44,5722564.465,559240.3971,,81,Point,Foggy Mid 44, , ,44,5722564.465,559240.3971, ,41.147366
Foggy Mid 45,,,45,5722563.865,559239.5969,,82,Point,Foggy Mid 45, , ,45,5722563.865,559239.5969, ,4.506487
Foggy Mid 46,,,46,5722563.265,559238.7966,,83,Point,Foggy Mid 46, , ,46,5722563.265,559238.7966, ,13.953025
Foggy Mid 47,,,47,5722562.666,559237.9963,,84,Point,Foggy Mid 47, , ,47,5722562.666,559237.9963, ,19.988966
Foggy Mid 48,,,48,5722562.066,559237.1961,,85,Point,Foggy Mid 48, , ,48,5722562.066,559237.1961, ,5.717052
Foggy Mid 49,WB,Mid,End,5722561.661,559236.6559,,86,Point,Foggy Mid 49,WB,Mid,End,5722561.661,559236.6559, ,45.915703
Foggy High 0,WB,High,Start,5722571.036,559288.0958,,87,Point,Foggy High 0,WB,High,Start,5722571.036,559288.0958, ,19.035305
Foggy High 1,,,1,5722570.272,559287.4511,,88,Point,Foggy High 1, , ,1,5722570.272,559287.4511, ,58.938457
Foggy High 2,,,2,5722569.507,559286.8064,,89,Point,Foggy High 2, , ,2,5722569.507,559286.8064, ,8.280424
Foggy High 3,,,3,5722568.743,559286.1618,,90,Point,Foggy High 3, , ,3,5722568.743,559286.1618, ,12.960378
Foggy High 4,,,4,5722567.979,559285.5171,,91,Point,Foggy High 4, , ,4,5722567.979,559285.5171, ,15.102571
Foggy High 5,,,5,5722567.214,559284.8724,,92,Point,Foggy High 5, , ,5,5722567.214,559284.8724, ,60.645409
Foggy High 6,,,6,5722566.45,559284.2277,,93,Point,Foggy High 6, , ,6,5722566.45,559284.2277, ,49.686745
Foggy High 7,,,7,5722565.685,559283.583,,94,Point,Foggy High 7, , ,7,5722565.685,559283.583, ,5.103178
Foggy High 8,,,8,5722564.921,559282.9383,,95,Point,Foggy High 8, , ,8,5722564.921,559282.9383, ,38.350822
Foggy High 9,,,9,5722564.156,559282.2937,,96,Point,Foggy High 9, , ,9,5722564.156,559282.2937, ,32.938751
Foggy High 10,,,10,5722563.392,559281.649,,97,Point,Foggy High 10, , ,10,5722563.392,559281.649, ,39.401272
Foggy High 11,,,11,5722562.627,559281.0043,,98,Point,Foggy High 11, , ,11,5722562.627,559281.0043, ,3.439324
Foggy High 12,,,12,5722561.863,559280.3596,,99,Point,Foggy High 12, , ,12,5722561.863,559280.3596, ,21.367365
Foggy High 13,,,13,5722561.099,559279.7149,,100,Point,Foggy High 13, , ,13,5722561.099,559279.7149, ,51.172653
Foggy High 14,,,14,5722560.334,559279.0703,,101,Point,Foggy High 14, , ,14,5722560.334,559279.0703, ,18.781261
Foggy High 15,,,15,5722559.57,559278.4256,,102,Point,Foggy High 15, , ,15,5722559.57,559278.4256, ,21.437616
Foggy High 16,,,16,5722558.805,559277.7809,,103,Point,Foggy High 16, , ,16,5722558.805,559277.7809, ,14.420845
Foggy High 17,,,17,5722558.041,559277.1362,,104,Point,Foggy High 17, , ,17,5722558.041,559277.1362, ,0.882445
Foggy High 18,,,18,5722557.276,559276.4915,,105,Point,Foggy High 18, , ,18,5722557.276,559276.4915, ,26.936378
Foggy High 19,,,19,5722556.512,559275.8468,,106,Point,Foggy High 19, , ,19,5722556.512,559275.8468, ,13.782753
Foggy High 20,,,20,5722555.747,559275.2022,,107,Point,Foggy High 20, , ,20,5722555.747,559275.2022, ,24.726742
Foggy High 21,,,21,5722554.983,559274.5575,,108,Point,Foggy High 21, , ,21,5722554.983,559274.5575, ,7.778367
Foggy High 22,,,22,5722554.218,559273.9128,,109,Point,Foggy High 22, , ,22,5722554.218,559273.9128, ,52.559731
Foggy High 23,,,23,5722553.454,559273.2681,,110,Point,Foggy High 23, , ,23,5722553.454,559273.2681, ,9.632463
Foggy High 24,,,24,5722552.69,559272.6234,,111,Point,Foggy High 24, , ,24,5722552.69,559272.6234, ,1.811141
Foggy High 25,,,25,5722551.925,559271.9787,,112,Point,Foggy High 25, , ,25,5722551.925,559271.9787, ,17.880995
Foggy High 26,,,26,5722551.161,559271.3341,,113,Point,Foggy High 26, , ,26,5722551.161,559271.3341, ,6.56167
Foggy High 27,,,27,5722550.396,559270.6894,,114,Point,Foggy High 27, , ,27,5722550.396,559270.6894, ,30.33341
Foggy High 28,,,28,5722549.632,559270.0447,,115,Point,Foggy High 28, , ,28,5722549.632,559270.0447, ,45.173664
Foggy High 29,,,29,5722548.867,559269.4,,116,Point,Foggy High 29, , ,29,5722548.867,559269.4, ,47.399288
Foggy High 30,,,30,5722548.103,559268.7553,,117,Point,Foggy High 30, , ,30,5722548.103,559268.7553, ,25.846975
Foggy High 31,,,31,5722547.338,559268.1106,,118,Point,Foggy High 31, , ,31,5722547.338,559268.1106, ,16.332026
Foggy High 32,,,32,5722546.574,559267.466,,119,Point,Foggy High 32, , ,32,5722546.574,559267.466, ,13.335626
Foggy High 33,,,33,5722545.81,559266.8213,,120,Point,Foggy High 33, , ,33,5722545.81,559266.8213, ,26.91613
Foggy High 34,,,34,5722545.045,559266.1766,,121,Point,Foggy High 34, , ,34,5722545.045,559266.1766, ,46.444721
Foggy High 35,,,35,5722544.281,559265.5319,,122,Point,Foggy High 35, , ,35,5722544.281,559265.5319, ,47.59483
Foggy High 36,,,36,5722543.516,559264.8872,,123,Point,Foggy High 36, , ,36,5722543.516,559264.8872, ,3.475734
Foggy High 37,,,37,5722542.752,559264.2425,,124,Point,Foggy High 37, , ,37,5722542.752,559264.2425, ,3.644187
Foggy High 38,,,38,5722541.987,559263.5979,,125,Point,Foggy High 38, , ,38,5722541.987,559263.5979, ,29.638195
Foggy High 39,,,39,5722541.223,559262.9532,,126,Point,Foggy High 39, , ,39,5722541.223,559262.9532, ,3.619046
Foggy High 40,,,40,5722540.458,559262.3085,,127,Point,Foggy High 40, , ,40,5722540.458,559262.3085, ,12.713746
Foggy High 41,,,41,5722539.694,559261.6638,,128,Point,Foggy High 41, , ,41,5722539.694,559261.6638, ,18.332064
Foggy High 42,,,42,5722538.929,559261.0191,,129,Point,Foggy High 42, , ,42,5722538.929,559261.0191, ,22.299885
Foggy High 43,,,43,5722538.165,559260.3744,,130,Point,Foggy High 43, , ,43,5722538.165,559260.3744, ,53.592037
Foggy High 45,WB,High,End,5722537.279,559259.6271,,131,Point,Foggy High 45,WB,High,End,5722537.279,559259.6271, ,11.699533
