taxon_corrected,taxon_revised,taxon_lumped,taxon_lumped2,taxon_lumped3,non.alga.flag,motile_sessile,Notes
Mazzaella splendens,Mazzaella splendens,Mazzaella splendens,Mazzaella splendens,Mazzaella splendens,Algae,sessile,
Melanosiphon intestinalis,Melanosiphon intestinalis,Melanosiphon intestinalis,Melanosiphon intestinalis,Melanosiphon intestinalis,Algae,sessile,
Melobesia sp.,Melobesia sp.,Melobesia sp.,Melobesia sp.,Melobesia sp.,Algae,sessile,
Mesocentrotus franciscanus,Mesocentrotus franciscanus,Mesocentrotus franciscanus,Mesocentrotus franciscanus,Mesocentrotus franciscanus,Animal,motile,
Mesophyllum vancouveriense,Mesophyllum vancouveriense,Mesophyllum vancouveriense,Mesophyllum vancouveriense,Mesophyllum vancouveriense,Algae,sessile,
Microcladia borealis,Microcladia borealis,Microcladia borealis,Microcladia borealis,Microcladia borealis,Algae,sessile,
Monostroma grevillei,Monostroma grevillei,Monostroma grevillei,Monostroma grevillei,Monostroma grevillei,Algae,sessile,
Mopalia sp.,Mopalia sp.,Mopalia sp.,Mopalia sp.,Mopalia sp.,Animal,motile,
Mysid,Mysid,Mysid,Mysid,Mysid,Animal,motile,
Mytilus sp.,Mytilus sp.,Mytilus sp.,Mytilus sp.,Mytilus sp.,Animal,sessile,
Mytilus trossulus,Mytilus trossulus,Mytilus trossulus,Mytilus sp.,Mytilus sp.,Animal,sessile,
Nemalion helminthoides,Nemalion helminthoides,Nemalion helminthoides,Nemalion helminthoides,Nemalion helminthoides,Algae,sessile,
Nemertea,Nemertea,Nemertea,Nemertea,Nemertea,Animal,motile,
Neoagarum fimbriatum,Neoagarum fimbriatum,Neoagarum fimbriatum,Neoagarum fimbriatum,Neoagarum fimbriatum,Algae,sessile,
Neodilsea borealis,Neodilsea borealis,Neodilsea borealis,Neodilsea borealis,Neodilsea borealis,Algae,sessile,
Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Algae,sessile,
Neopolyporolithon reclinatum,Neopolyporolithon reclinatum,Neopolyporolithon reclinatum,Neopolyporolithon reclinatum,Neopolyporolithon reclinatum,Algae,sessile,
Neorhodomela aculeata,Neorhodomela aculeata,Neorhodomela aculeata,Neorhodomela aculeata,Neorhodomela aculeata,Algae,sessile,
Neorhodomela larix,Neorhodomela larix,Neorhodomela larix,Neorhodomela larix,Neorhodomela larix,Algae,sessile,
Neorhodomela oregona,Neorhodomela oregona,Neorhodomela oregona,Neorhodomela oregona,Neorhodomela oregona,Algae,sessile,
Nereid,Nereid,Nereid,Nereid,Nereid,Animal,motile,
Nereocystis luetkeana,Nereocystis luetkeana,Nereocystis luetkeana,Nereocystis luetkeana,Nereocystis luetkeana,Algae,sessile,
Nucella lamellosa,Nucella lamellosa,Nucella,Nucella,Nucella,Animal,motile,
Nucella sp.,Nucella sp.,Nucella,Nucella,Nucella,Animal,motile,
Nudipleura,Nudipleura,Nudipleura,Nudipleura,Nudipleura,Animal,motile,
Odonthalia floccosa,Odonthalia floccosa,Odonthalia floccosa,Odonthalia floccosa,Odonthalia floccosa,Algae,sessile,These are distinct
Odonthalia floccosa f. comosa,Odonthalia floccosa f. comosa,Odonthalia floccosa f. comosa,Odonthalia floccosa f. comosa,Odonthalia floccosa f. comosa,Algae,sessile,These are distinct
Onchidella borealis,Onchidella borealis,Onchidella,Onchidella,Onchidella,Animal,motile,
Onchidella sp.,Onchidella sp.,Onchidella,Onchidella,Onchidella,Animal,motile,
Opuntiella californica,Opuntiella californica,Opuntiella californica,Opuntiella californica,Opuntiella californica,Algae,sessile,
Osmundea spectabilis,Osmundea spectabilis,Osmundea spectabilis,Osmundea spectabilis,Osmundea spectabilis,Algae,sessile,
Pagarus sp.,Pagarus sp.,Pagarus sp.,Pagarus sp.,Pagarus sp.,Animal,motile,
Palmaria hecatensis,Palmaria hecatensis,Palmaria hecatensis,Palmaria hecatensis,Palmaria hecatensis,Algae,sessile,
Palmaria mollis,Palmaria mollis,Palmaria mollis,Palmaria mollis,Palmaria mollis,Algae,sessile,
Pentidotea sp.,Pentidotea sp.,Pentidotea sp.,Pentidotea sp.,Pentidotea sp.,Animal,motile,
Petalonia fascia,Petalonia fascia,Petalonia fascia,Petalonia fascia,Petalonia fascia,Algae,sessile,
Petrocelis,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,
Peyssonnelia sp.,Peyssonnelia sp.,Peyssonnelia sp.,Peyssonnelia sp.,Peyssonnelia sp.,Algae,sessile,
Pholidae,Pholidae,Pholidae,Pholidae,Pholidae,Animal,motile,
Phycodrys sp.,Phycodrys sp.,Phycodrys sp.,Phycodrys sp.,Phycodrys sp.,Algae,sessile,
Phyllospadix scouleri,Phyllospadix scouleri,Phyllospadix sp.,Phyllospadix sp.,Phyllospadix sp.,Algae,sessile,
Phyllospadix serrulatus,Phyllospadix serrulatus,Phyllospadix sp.,Phyllospadix sp.,Phyllospadix sp.,Algae,sessile,
Phyllospadix sp.,Phyllospadix sp.,Phyllospadix sp.,Phyllospadix sp.,Phyllospadix sp.,Algae,sessile,TRY TO FIGURE OUT FROM LOCATION
Pisaster ochraceus,Pisaster ochraceus,Pisaster ochraceus,Pisaster ochraceus,Pisaster ochraceus,Animal,motile,
Pleonosporium vancouverianum,Pleonosporium vancouverianum,Pleonosporium vancouverianum,Pleonosporium vancouverianum,Pleonosporium vancouverianum,Algae,sessile,
Plocamium pacificum,Plocamium pacificum,Plocamium pacificum,Plocamium pacificum,Plocamium pacificum,Algae,sessile,
Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Algae,sessile,
Pododesmus sp.,Pododesmus sp.,Pododesmus sp.,Pododesmus sp.,Pododesmus sp.,Animal,sessile,
Pollicipes polymerus,Pollicipes polymerus,Pollicipes polymerus,Pollicipes polymerus,Pollicipes polymerus,Animal,sessile,
Polychaete,Polychaete,Polychaete,Polychaete,Polychaete,Animal,motile,
Polyneura latissima,Polyneura latissima,Polyneura latissima,Polyneura latissima,Polyneura latissima,Algae,sessile,
Polysiphonia brodiei,Polysiphonia brodiei,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia hendryi,Polysiphonia hendryi,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia hendryi var. gardneri,Polysiphonia hendryi var. gardneri,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia hendryi var. hendryi,Polysiphonia hendryi var. hendryi,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia hendryi var. luxuriens,Polysiphonia hendryi var. luxuriens,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia pacifica,Polysiphonia pacifica,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia pacifica var delicatula,Polysiphonia pacifica var delicatula,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia paniculata,Polysiphonia paniculata,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia sp.,Polysiphonia sp.,Polysiphonia,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Porifera,Porifera,Porifera,Tunicata/Porifera,Tunicata/Porifera,Animal,sessile,
Prionitis sp.,Prionitis sp.,Prionitis,Prionitis,Prionitis,Algae,sessile,
Prionitis sternbergii,Prionitis sternbergii,Prionitis,Prionitis,Prionitis,Algae,sessile,specific epithet changed in 2019
Pseudolithophyllum muricatum,Crusticorallina muricata,Crusticorallina muricata,Crusticorallina muricata,coralline crust,Algae,sessile,taxon_revised to Crusticorallina muricata 20200421; taxon_lumped3 to coralline crust 20200421 by Matt Whalen
Pterocladiella caloglossoides,Pterocladiella caloglossoides,Pterocladiella caloglossoides,Pterocladiella caloglossoides,Pterocladiella caloglossoides,Algae,sessile,
Pterosiphonia bipinnata,Savoiea robusta,Savoiea robusta,Savoiea robusta,Savoiea robusta,Algae,sessile,
Pterosiphonia dendroidea,Symphyocladiella dendroidea,Symphyocladiella dendroidea,Symphyocladiella dendroidea,Symphyocladiella dendroidea,Algae,sessile,
Pterosiphonia gracilis,Symphyocladia plumosa,Symphyocladia plumosa,Symphyocladia plumosa,Symphyocladia plumosa,Algae,sessile,changed in 2019
Pterygophora californica,Pterygophora californica,Pterygophora californica,Pterygophora californica,Pterygophora californica,Algae,sessile,
Ptilota filicina,Ptilota filicina,Ptilota,Ptilota,Ptilota,Algae,sessile,
Ptilota sp.,Ptilota sp.,Ptilota,Ptilota,Ptilota,Algae,sessile,
Ptilota tenuis,Ptilota tenuis,Ptilota,Ptilota,Ptilota,Algae,sessile,
Pugetia firma,Pugetia firma,Pugetia firma,Pugetia firma,Pugetia firma,Algae,sessile,
Pugettia producta,Pugettia producta,Pugettia,Pugettia,Pugettia,Animal,motile,
Pugettia sp.,Pugettia sp.,Pugettia,Pugettia,Pugettia,Animal,motile,
Punctaria sp.,Punctaria sp.,Punctaria sp.,Punctaria sp.,Punctaria sp.,Algae,sessile,
Pycnopodia helianthoides,Pycnopodia helianthoides,Pycnopodia helianthoides,Pycnopodia helianthoides,Pycnopodia helianthoides,Animal,motile,
Pylaiella littoralis,Pylaiella littoralis,Pylaiella littoralis,Pylaiella littoralis,Pylaiella littoralis,Algae,sessile,
Pyropia abbottiae,Pyropia abbottiae,Pyropia abbottiae,Pyropia,Pyropia,Algae,sessile,
Pyropia fallax,Pyropia fallax,Pyropia fallax,Pyropia,Pyropia,Algae,sessile,
Pyropia fucicola,Pyropia fucicola,Pyropia fucicola,Pyropia,Pyropia,Algae,sessile,
Pyropia gardneri,Pyropia gardneri,Pyropia gardneri,Pyropia,Pyropia,Algae,sessile,
Pyropia perforata,Pyropia perforata,Pyropia perforata,Pyropia,Pyropia,Algae,sessile,
Pyropia schizophylla,Pyropia schizophylla,Wildmania schizophylla,Pyropia,Pyropia,Algae,sessile,
Pyropia smithii,Pyropia smithii,Pyropia smithii,Pyropia,Pyropia,Algae,sessile,
Pyropia sp.,Pyropia sp.,Pyropia sp.,Pyropia,Pyropia,Algae,sessile,TRY TO FIGURE OUT FROM LOCATION
Ralfsioid,Ralfsioid,Ralfsioid,Ralfsioid,Ralfsioid,Algae,sessile,
Rhizoclonium tortuosum,Rhizoclonium tortuosum,Rhizoclonium tortuosum,Rhizoclonium tortuosum,Rhizoclonium tortuosum,Algae,sessile,
Rhodochorton purpureum,Rhodochorton purpureum,Rhodochorton purpureum,Rhodochorton purpureum,Rhodochorton purpureum,Algae,sessile,
Rhodymenia sp.,Rhodymenia sp.,Rhodymenia sp.,Rhodymenia sp.,Rhodymenia sp.,Algae,sessile,
Riterella pulchra,Riterella pulchra,Riterella pulchra,Riterella pulchra,Riterella pulchra,Animal,sessile,
Saccharina latissima,Saccharina latissima,Saccharina latissima,Saccharina latissima,Saccharina latissima,Algae,sessile,
Saccharina nigripes,Hedophyllum nigripes,Hedophyllum nigripes,Hedophyllum nigripes,Hedophyllum nigripes,Algae,sessile,changed to Hedophyllum in 2019
Saccharina sessilis,Hedophyllum sessile,Hedophyllum sessile,Hedophyllum sessile,Hedophyllum sessile,Algae,sessile,changed to Hedophyllum in 2019
Salishia firma,Salishia firma,Salishia firma,Salishia firma,Salishia firma,Algae,sessile,
Sand,Sand,Sand,Sand,Sand,Substratum,NA,
Sargassum muticum,Sargassum muticum,Sargassum muticum,Sargassum muticum,Sargassum muticum,Algae,sessile,
Scagelia occidentale,Scagelia occidentale,Scagelia occidentale,Scagelia occidentale,Scagelia occidentale,Algae,sessile,
Schizymenia pacifica,Schizymenia pacifica,Schizymenia pacifica,Schizymenia pacifica,Schizymenia pacifica,Algae,sessile,
Scytosiphon dotyi,Scytosiphon dotyi,Scytosiphon dotyi,Scytosiphon dotyi,Scytosiphon dotyi,Algae,sessile,
Scytosiphon lomentaria,Scytosiphon lomentaria,Scytosiphon lomentaria,Scytosiphon lomentaria,Scytosiphon lomentaria,Algae,sessile,
Sea star,Sea star,Sea star,Sea star,Sea star,Animal,motile,
Semibalanus cariosus,Semibalanus cariosus,Barnacles,Barnacles,Barnacles,Animal,sessile,
Smithora naiadum,Smithora naiadum,Smithora naiadum,Smithora naiadum,Smithora naiadum,Algae,sessile,
Snail,Snail,Snail,Snail,Snail,Animal,motile,
Soranthera ulvoidea,Soranthera ulvoidea,Soranthera ulvoidea,Soranthera ulvoidea,Soranthera ulvoidea,Algae,sessile,
Sparlingia pertusa,Sparlingia pertusa,Sparlingia pertusa,Sparlingia pertusa,Sparlingia pertusa,Algae,sessile,
Sphacelaria rigidula,Sphacelaria rigidula,Sphacelaria rigidula,Sphacelaria rigidula,Sphacelaria rigidula,Algae,sessile,
Spirorbidae,Spirorbidae,Spirorbidae,Tube worms,Tube worms,Animal,sessile,
Spirorbis,Spirorbis,Spirorbis,Tube worms,Tube worms,Animal,sessile,
Spongites tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019
Strongylocentrotus droebachiensis,Strongylocentrotus droebachiensis,Strongylocentrotus droebachiensis,Strongylocentrotus droebachiensis,Strongylocentrotus droebachiensis,Animal,motile,
Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Animal,motile,
Styela sp.,Styela sp.,Styela sp.,Styela sp.,Styela sp.,Animal,sessile,
Tegula sp.,Tegula sp.,Tegula sp.,Tegula sp.,Tegula sp.,Animal,motile,
Tiffaniella snyderae,Tiffaniella snyderae,Tiffaniella snyderae,Tiffaniella snyderae,Tiffaniella snyderae,Algae,sessile,
Tokidadendron bullatum,Tokidadendron bullatum,Tokidadendron bullatum,Tokidadendron bullatum,Tokidadendron bullatum,Algae,sessile,
Tonicella lineata,Tonicella lineata,Tonicella lineata,Tonicella lineata,Tonicella lineata,Animal,motile,
Tonicella sp.,Tonicella sp.,Tonicella sp.,Tonicella sp.,Tonicella sp.,Animal,motile,
Tube worms,Tube worms,Tube worms,Tube worms,Tube worms,Animal,sessile,
Tunicata,Tunicata,Tunicata,Tunicata/Porifera,Tunicata/Porifera,Animal,sessile,
Tunicata/Porifera,Tunicata/Porifera,Tunicata/Porifera,Tunicata/Porifera,Tunicata/Porifera,Animal,sessile,
Ulothrix-Urospora sp.,Ulothrix-Urospora sp.,Ulothrix-Urospora sp.,Ulothrix-Urospora sp.,Ulothrix-Urospora sp.,Algae,sessile,
Ulva intestinalis,Ulva intestinalis,Ulva intestinalis,Ulva,Ulva,Algae,sessile,
Ulva lactuca,Ulva fenestrata,Ulva fenestrata,Ulva,Ulva,Algae,sessile,changed in 2019
Ulva linza,Ulva linza,Ulva linza,Ulva,Ulva,Algae,sessile,
Ulva lobata,Ulva lobata,Ulva lobata,Ulva,Ulva,Algae,sessile,
Ulva prolifera,Ulva prolifera,Ulva prolifera,Ulva,Ulva,Algae,sessile,
Ulva sp.,Ulva sp.,Ulva lactuca,Ulva,Ulva,Algae,sessile,Try tO FIGURE OUT FROM LOCATION
Unknown crust,Unknown crust,Unknown crust,Unknown crust,Unknown crust,Algae,sessile,
Unknown turf,Unknown turf,Unknown turf,Unknown turf,Unknown turf,Algae,sessile,
Wildmania amplissima,Wildmania amplissima,Wildmania amplissima,Pyropia,Pyropia,Algae,sessile,
Wildmania norrisii,Wildmania norrisii,Wildmania norrisii,Pyropia,Pyropia,Algae,sessile,
Wildmania schizophylla,Wildmania schizophylla,Wildmania schizophylla,Pyropia,Pyropia,Algae,sessile,
Wood,Wood,Wood,Wood,Wood,Substratum,NA,
Worm,Worm,Worm,Worm,Worm,Animal,motile,
Total corallines,Total corallines,Total corallines,Total corallines,Total corallines,Algae,sessile,
Saccharina groenlandica,Hedophyllum nigripes,Hedophyllum nigripes,Hedophyllum nigripes,Hedophyllum nigripes,Algae,sessile,changed to Hedophyllum in 2019
Hedophyllum nigripes,Hedophyllum nigripes,Hedophyllum nigripes,Hedophyllum nigripes,Hedophyllum nigripes,Algae,sessile,added in 2019
Hedophyllum sessile,Hedophyllum sessile,Hedophyllum sessile,Hedophyllum sessile,Hedophyllum sessile,Algae,sessile,added in 2019
Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019
Ulva expansa,Ulva expansa,Ulva expansa,Ulva,Ulva,Algae,sessile,added in 2019
Prionitis lanceoloata,Prionitis lanceoloata,Prionitis,Prionitis,Prionitis,Algae,sessile,"added in 2019, only now beginning to distinguish from P. sternbergii, so lump for now"
Symphyocladia plumosa,Symphyocladia plumosa,Symphyocladia plumosa,Symphyocladia plumosa,Symphyocladia plumosa,Algae,sessile,added in 2019
Savoiea robusta,Savoiea robusta,Savoiea robusta,Savoiea robusta,Savoiea robusta,Algae,sessile,added in 2019
Polyostea robusta,Savoiea robusta,Savoiea robusta,Savoiea robusta,Savoiea robusta,Algae,sessile,added in 2019
Bossiella mayae/exarticulata,Bossiella mayae/exarticulata,Bossiella,Bossiella,Bossiella,Algae,sessile,
Ulva fenestrata,Ulva fenestrata,Ulva fenestrata,Ulva,Ulva,Algae,sessile,resurrected in 2019
Derbesia marina,Derbesia marina,Derbesia marina,Derbesia marina,Derbesia marina,Algae,sessile,added in 2019
Symphyocladiella dendroidea,Symphyocladiella dendroidea,Symphyocladiella dendroidea,Symphyocladiella dendroidea,Symphyocladiella dendroidea,Algae,sessile,name changed in 2019
Phyllospadix torreyi,Phyllospadix torreyi,Phyllospadix sp.,Phyllospadix sp.,Phyllospadix sp.,Algae,sessile,
Eugomontia sacculata,Eugomontia sacculata,Eugomontia sacculata,Eugomontia sacculata,Eugomontia sacculata,Algae,sessile,
Dictyosiphon sinicola ,Dictyosiphon sinicola ,Dictyosiphon sinicola ,Dictyosiphon sinicola ,Dictyosiphon sinicola ,Algae,sessile,
Callithamnion biseriatum,Callithamnion biseriatum,Callithamnion biseriatum,Callithamnion biseriatum,Callithamnion biseriatum,Algae,sessile,
Mastocarpus jardinii,Mastocarpus jardinii,Mastocarpus jardinii,Mastocarpus jardinii,Mastocarpus jardinii,Algae,sessile,
Ulothrix palusalsa,Ulothrix palusalsa,Ulothrix palusalsa,Ulothrix palusalsa,Ulothrix palusalsa,Algae,sessile,
Shrimp,Shrimp,Shrimp,Shrimp,Shrimp,Animal,motile,
Ceratostoma,Ceratostoma,Ceratostoma,Ceratostoma,Ceratostoma,Animal,motile,
Unknown red blade,Unknown red blade,Unknown red blade,Unknown red blade,Unknown red blade,Algae,sessile,
Dactylosiphon bullosus,Dactylosiphon bullosus,Dactylosiphon bullosus,Dactylosiphon bullosus,Dactylosiphon bullosus,Algae,sessile,
Desmarestia herbacea,Desmarestia herbacea,Desmarestia herbacea,Desmarestia herbacea,Desmarestia herbacea,Algae,sessile,
articulated coralline,articulated coralline,articulated coralline,articulated coralline,articulated coralline,Algae,sessile,
coralline crust,coralline crust,coralline crust,coralline crust,coralline crust,Algae,sessile,
